edad,ingreso_mensual,confianza_mercado,apoyo_redistribucion,valoracion_orden_publico,preferencia_politica
48,350000,6,6,6,Centro
56,1640000,7,3,6,Derecha
49,1590000,10,5,5,Derecha
60,1370000,5,7,5,Izquierda
52,1790000,5,5,10,Derecha
73,1250000,5,4,7,Derecha
32,690000,3,8,8,Izquierda
58,930000,5,6,7,Izquierda
32,590000,9,7,6,Derecha
47,1180000,6,4,4,Centro
34,1400000,5,4,3,Derecha
31,4210000,4,7,4,Izquierda
27,1170000,7,6,7,Centro
53,350000,7,4,5,Centro
35,2750000,7,5,3,Centro
58,1150000,5,1,6,Derecha
34,1300000,5,6,7,Izquierda
52,710000,6,5,7,Derecha
45,2390000,9,5,6,Derecha
51,610000,6,6,5,Derecha
49,840000,9,3,7,Derecha
32,740000,5,6,2,Izquierda
55,390000,9,4,6,Derecha
59,540000,7,8,7,Derecha
26,600000,6,7,6,Centro
32,1930000,7,5,4,Derecha
34,1480000,4,4,6,Centro
55,820000,8,2,5,Derecha
47,1340000,6,7,5,Centro
32,890000,4,6,4,Centro
58,850000,3,7,2,Centro
59,510000,7,5,6,Derecha
18,870000,5,8,6,Izquierda
43,920000,4,8,6,Centro
76,1960000,5,6,5,Centro
55,1490000,6,4,3,Derecha
53,860000,6,5,5,Izquierda
48,1690000,1,6,4,Izquierda
64,350000,7,4,4,Centro
64,1470000,9,6,6,Derecha
22,840000,6,5,4,Centro
32,1130000,3,8,8,Centro
21,1590000,5,7,3,Izquierda
48,1040000,3,6,4,Izquierda
44,2830000,7,6,5,Centro
27,1090000,10,3,6,Derecha
28,1620000,4,5,8,Izquierda
43,590000,5,6,3,Centro
31,4720000,6,6,5,Centro
38,1070000,5,7,5,Centro
57,1070000,7,7,4,Izquierda
27,640000,6,7,8,Centro
51,850000,5,6,6,Centro
53,1620000,4,6,5,Centro
30,2530000,3,7,4,Centro
43,710000,5,8,7,Centro
53,480000,6,6,2,Centro
45,1020000,4,8,6,Izquierda
64,1830000,4,4,4,Centro
29,1240000,4,5,4,Centro
39,1890000,8,7,7,Centro
34,640000,7,3,4,Centro
44,970000,8,6,5,Derecha
47,1140000,7,3,5,Derecha
45,1530000,6,6,6,Centro
42,2000000,5,4,4,Centro
54,1130000,3,8,9,Izquierda
50,790000,4,4,2,Centro
33,1390000,7,4,8,Derecha
61,580000,5,3,6,Derecha
36,1950000,7,3,7,Derecha
56,5500000,7,1,7,Derecha
27,1000000,7,2,7,Derecha
26,1100000,3,5,3,Centro
39,1370000,7,4,5,Derecha
18,1420000,8,5,3,Centro
44,530000,1,9,1,Izquierda
55,3200000,8,3,4,Derecha
48,4120000,7,4,5,Centro
51,4860000,5,7,6,Centro
60,810000,5,5,2,Centro
53,2990000,4,7,5,Centro
23,660000,4,5,4,Izquierda
58,820000,8,5,4,Centro
33,1770000,4,6,8,Centro
