id_encuestado,edad,region,zona,medio_informacion,interes_politica,confianza_instituciones,ingreso_hogar,participacion_anterior
102276,53,Coquimbo,Rural,Redes sociales,5,56,580000,Sí
100335,39,Coquimbo,Urbana,Televisión,7,42,1080000,Sí
102609,48,Maule,Urbana,Redes sociales,5,34,1790000,No
101257,35,Metropolitana,Urbana,Redes sociales,9,25,360000,No
100378,65,Valparaíso,Rural,Televisión,8,61,510000,Sí
101809,55,O'Higgins,Rural,Televisión,10,63,1890000,Sí
101329,21,Valparaíso,Urbana,Redes sociales,2,12,1230000,Sí
102709,52,Biobío,Rural,Radio,3,51,1170000,Sí
100762,56,Valparaíso,Urbana,Televisión,8,49,980000,No
101405,40,Metropolitana,Urbana,Televisión,2,52,1100000,Sí
101929,38,Coquimbo,Rural,Televisión,6,31,590000,Sí
101191,64,Valparaíso,Urbana,Redes sociales,9,25,1760000,Sí
101273,54,Metropolitana,Urbana,Televisión,6,33,450000,Sí
101451,57,Coquimbo,Urbana,Televisión,9,23,700000,Sí
104388,26,Metropolitana,Urbana,Prensa digital,3,26,870000,Sí
103082,36,Metropolitana,Rural,Televisión,7,66,790000,No
100112,,Coquimbo,Urbana,Redes sociales,9,20,280000,Sí
100150,47,Metropolitana,Urbana,Redes sociales,7,37,300000,Sí
101139,64,Coquimbo,Urbana,Redes sociales,4,62,1040000,Sí
100145,76,Metropolitana,Urbana,Televisión,6,44,520000,Sí
100324,35,O'Higgins,Urbana,Televisión,6,42,1190000,No
102775,58,Valparaíso,Rural,Radio,3,55,480000,Sí
100729,50,Valparaíso,Rural,Redes sociales,10,45,840000,Sí
101934,38,Valparaíso,Urbana,Televisión,5,52,620000,Sí
101938,37,Valparaíso,Urbana,Prensa digital,10,58,300000,No
104344,81,Maule,Urbana,Prensa digital,5,12,770000,No
101459,80,Coquimbo,Urbana,Redes sociales,5,34,680000,Sí
103608,51,Valparaíso,Urbana,Prensa digital,1,19,2090000,No
103845,30,Valparaíso,Urbana,Redes sociales,4,29,610000,No
104322,53,Coquimbo,Urbana,Prensa digital,8,46,510000,Sí
102295,42,Metropolitana,Urbana,Redes sociales,2,56,620000,No
104550,42,Metropolitana,Urbana,Redes sociales,10,79,730000,Sí
100009,51,Biobío,Rural,Redes sociales,4,44,580000,No
101452,23,Biobío,Urbana,Prensa digital,4,54,1080000,Sí
103962,55,Metropolitana,Urbana,Prensa digital,3,78,440000,Sí
100440,,Valparaíso,Urbana,Televisión,4,52,280000,Sí
103367,51,Maule,Urbana,Redes sociales,3,12,590000,No
101454,67,Metropolitana,Urbana,Televisión,10,17,1530000,No
101549,34,Metropolitana,Urbana,Televisión,4,38,420000,Sí
101209,30,Valparaíso,Rural,Televisión,3,4,610000,Sí
101895,35,Metropolitana,Rural,Televisión,2,60,1580000,No
102962,22,Metropolitana,Urbana,Prensa digital,6,34,1290000,Sí
101854,38,Metropolitana,Urbana,Prensa digital,1,64,380000,Sí
103140,38,Metropolitana,Urbana,Prensa digital,10,76,550000,No
100791,49,O'Higgins,Urbana,Prensa digital,7,46,750000,Sí
102781,42,Metropolitana,Urbana,Prensa digital,10,36,590000,No
102362,61,Metropolitana,Urbana,Televisión,1,45,2110000,Sí
103091,54,Coquimbo,Rural,Redes sociales,7,69,550000,Sí
102329,,Coquimbo,Rural,Prensa digital,10,55,310000,No
102515,48,Valparaíso,Urbana,Redes sociales,9,41,330000,Sí
102687,24,Maule,Urbana,Redes sociales,2,24,800000,Sí
100578,40,Metropolitana,Urbana,Redes sociales,6,55,620000,Sí
102168,55,Metropolitana,Urbana,Radio,9,48,1270000,Sí
102058,61,O'Higgins,Urbana,Redes sociales,5,25,570000,Sí
102105,42,Metropolitana,Urbana,Televisión,5,67,380000,Sí
101593,39,Metropolitana,Rural,Redes sociales,6,77,300000,No
101009,62,valparaiso,Urbana,Televisión,9,60,340000,Sí
101035,30,Metropolitana,Urbana,Televisión,2,37,350000,No
103524,40,Biobío,Urbana,Radio,9,19,1420000,No
101912,60,Metropolitana,Urbana,Televisión,4,53,2120000,Sí
100432,,Coquimbo,Rural,Redes sociales,1,34,480000,Sí
104901,25,Coquimbo,Urbana,Radio,7,73,340000,No
101371,21,Metropolitana,Urbana,Prensa digital,3,93,720000,No
101234,48,Metropolitana,Urbana,Prensa digital,8,20,680000,No
103704,59,Valparaíso,Rural,Prensa digital,1,68,530000,Sí
102660,42,Coquimbo,Urbana,Prensa digital,8,45,660000,Sí
104681,88,Maule,Rural,Prensa digital,6,62,1660000,Sí
103200,,Valparaíso,Rural,Televisión,10,54,530000,Sí
102273,68,Metropolitana,Urbana,Redes sociales,5,50,620000,Sí
100417,40,Biobío,Urbana,Redes sociales,4,43,900000,Sí
102607,28,Maule,Rural,Redes sociales,7,38,710000,Sí
103620,43,Biobío,Rural,Prensa digital,4,54,840000,No
103256,77,Metropolitana,Urbana,Radio,3,42,2150000,Sí
102341,,Metropolitana,Urbana,Televisión,6,39,640000,Sí
103380,52,Biobío,Urbana,Redes sociales,1,39,1000000,No
103880,49,Metropolitana,Urbana,Televisión,7,28,1220000,Sí
102009,48,Metropolitana,Rural,Prensa digital,7,10,690000,No
104242,27,Metropolitana,Urbana,Prensa digital,3,45,1110000,No
103820,48,Metropolitana,Urbana,Prensa digital,9,45,900000,No
104860,30,Metropolitana,Urbana,Prensa digital,10,61,1840000,No
100914,41, Metropolitana ,Urbana,Televisión,9,79,530000,Sí
101442,37,Coquimbo,Urbana,Redes sociales,7,64,350000,Sí
101696,32,valparaiso,Urbana,Prensa digital,6,55,1160000,No
100397,58,Biobío,Urbana,Radio,5,52,810000,Sí
101597,71,Maule,Urbana,Radio,6,25,1190000,Sí
103116,54,Biobío,Urbana,Televisión,1,52,1140000,Sí
101761,43,Coquimbo,Urbana,Televisión,9,40,1950000,Sí
104875,65,Maule,Urbana,Redes sociales,2,57,830000,Sí
102005,56,Metropolitana,Rural,Redes sociales,7,90,1400000,Sí
100404,35,Metropolitana,Urbana,Prensa digital,7,65,1260000,Sí
101290,,Metropolitana,Urbana,Redes sociales,5,21,830000,No
104579,39,Metropolitana,Urbana,Televisión,8,67,1030000,Sí
102764,69,Metropolitana,Urbana,Televisión,3,18,670000,No
104688,49,Metropolitana,Urbana,Redes sociales,3,79,1670000,Sí
102342,51,Biobío,Urbana,Redes sociales,1,47,380000,Sí
102059,55,Biobío,Urbana,Redes sociales,5,55,420000,No
100296,43,Biobío,Urbana,Redes sociales,5,14,410000,No
101572,55,Metropolitana,Urbana,Redes sociales,4,29,690000,Sí
104057,30,Biobío,Rural,Prensa digital,2,36,1230000,Sí
100257,59,Valparaíso,Rural,Televisión,5,55,1030000,Sí
102643,33,Metropolitana,Rural,Prensa digital,2,0,850000,Sí
104594,59,Maule,Rural,Prensa digital,2,60,760000,Sí
102571,40,Biobío,Rural,Prensa digital,7,39,630000,Sí
102456,43,Biobío,Urbana,Televisión,7,25,2090000,No
100132,25,Metropolitana,Urbana,Radio,9,68,2890000,Sí
101555,57,Metropolitana,Rural,Redes sociales,9,55,1260000,No
104445,31,O'Higgins,Urbana,Televisión,2,55,470000,Sí
102378,27,Metropolitana,Rural,Televisión,3,56,490000,No
102418,55,Metropolitana,Urbana,Televisión,8,40,2570000,Sí
104289,57,Valparaíso,Rural,Radio,3,64,640000,Sí
100438,32,Metropolitana,Rural,Prensa digital,5,40,700000,Sí
102327,18,O'Higgins,Urbana,Televisión,1,10,1400000,Sí
101428,24,O'Higgins,Rural,Redes sociales,1,41,940000,Sí
102277,19,Metropolitana,Urbana,Redes sociales,8,47,620000,Sí
103557,47,Metropolitana,Urbana,Redes sociales,2,63,500000,No
102473,56,Metropolitana,Urbana,Redes sociales,8,36,1280000,No
102140,46,Metropolitana,Urbana,Radio,5,55,930000,No
103073,33,Biobío,Rural,Televisión,5,54,1120000,No
104894,39,Valparaíso,Urbana,Televisión,8,21,280000,Sí
103449,47,Metropolitana,Urbana,Prensa digital,3,61,370000,No
100005,66,Metropolitana,Urbana,Radio,1,53,710000,Sí
104570,38,Metropolitana,Urbana,Prensa digital,6,64,640000,Sí
100604,51,Metropolitana,Urbana,Redes sociales,6,59,1590000,Sí
103390,26,Maule,Urbana,Prensa digital,1,77,300000,Sí
104838,69,Valparaíso,Urbana,Prensa digital,2,50,1240000,Sí
102479,35,Coquimbo,Urbana,Redes sociales,10,31,700000,Sí
100388,53,Biobío,Rural,Redes sociales,8,29,1650000,Sí
101490,54,Valparaíso,Rural,Redes sociales,8,20,380000,Sí
101390,,Metropolitana,Urbana,Televisión,2,45,740000,No
100785,67,Valparaíso,Urbana,Prensa digital,3,27,1070000,Sí
103318,34,Biobío,Rural,Redes sociales,9,62,440000,Sí
103933,78,Metropolitana,Urbana,Televisión,5,25,910000,Sí
101338,40,O'Higgins,Rural,Redes sociales,1,54,440000,No
101457,75,Metropolitana,Rural,Prensa digital,8,67,640000,Sí
100461,,Valparaíso,Urbana,Redes sociales,7,37,570000,No
102022,54,Valparaíso,Urbana,Redes sociales,10,53,650000,Sí
103682,29,Metropolitana,Urbana,Radio,2,17,280000,Sí
104179,23,Biobío,Urbana,Radio,1,30,370000,No
102925,,Valparaíso,Urbana,Prensa digital,4,52,1400000,Sí
100280,18,Biobío,Urbana,Prensa digital,1,42,760000,Sí
101714,46,Metropolitana,Urbana,Redes sociales,2,55,890000,No
100608,34,Coquimbo,Urbana,Redes sociales,3,71,950000,No
103478,49,Metropolitana,Urbana,Prensa digital,3,54,640000,Sí
104498,68,Metropolitana,Urbana,Redes sociales,3,30,1050000,No
104701,54,Maule,Urbana,Televisión,8,22,480000,Sí
101192,32,Metropolitana,Urbana,Televisión,10,69,310000,Sí
101990,47,O'Higgins,Rural,Prensa digital,7,70,1110000,Sí
101700,33,Valparaíso,Urbana,Prensa digital,1,68,1100000,No
104769,38,Metropolitana,Urbana,Prensa digital,7,53,820000,Sí
102433,73,Metropolitana,Rural,Radio,10,46,1300000,Sí
104401,50,Valparaíso,Urbana,Prensa digital,5,42,970000,Sí
100571,51,Maule,Urbana,Redes sociales,2,43,790000,Sí
101265,35,Metropolitana,Urbana,Redes sociales,10,45,670000,Sí
104128,30,Metropolitana,Urbana,Prensa digital,8,50,810000,No
100299,62,Coquimbo,Urbana,Televisión,9,44,350000,Sí
103539,69,METROPOLITANA,Urbana,Redes sociales,3,60,670000,Sí
102120,32,Valparaíso,Urbana,Redes sociales,9,39,500000,Sí
102612,51,Metropolitana,Urbana,Televisión,5,41,770000,Sí
100273,41,O'Higgins,Urbana,Redes sociales,8,28,790000,Sí
102125,26,Maule,Rural,Televisión,10,14,820000,Sí
103371,76,Biobío,Urbana,Prensa digital,3,42,1010000,Sí
103258,58,Biobío,Urbana,Televisión,9,53,780000,Sí
103246,74,Valparaíso,Urbana,Redes sociales,2,31,1010000,Sí
104190,65,Maule,Rural,Prensa digital,2,52,420000,No
102337,53,Metropolitana,Urbana,Redes sociales,3,81,790000,Sí
104615,19,Valparaíso,Urbana,Radio,7,39,1040000,Sí
102349,30,Metropolitana,Urbana,Televisión,1,34,910000,No
104587,64,Metropolitana,Urbana,Radio,3,29,790000,No
101538,67,Metropolitana,Urbana,Redes sociales,6,33,1160000,Sí
101367,41,O'Higgins,Urbana,Redes sociales,9,35,1200000,Sí
102004,38,Metropolitana,Urbana,Prensa digital,5,51,1910000,No
103062,36,Valparaíso,Rural,Televisión,9,39,1870000,Sí
104280,42,Metropolitana,Urbana,Redes sociales,3,58,790000,Sí
100868,,Metropolitana,Urbana,Televisión,9,31,280000,Sí
104885,55,Coquimbo,Urbana,Redes sociales,4,85,890000,Sí
102864,63,Metropolitana,Urbana,Prensa digital,3,21,280000,Sí
103868,38,Metropolitana,Urbana,Prensa digital,8,72,730000,Sí
100706,41,Maule,Urbana,Televisión,2,56,1260000,Sí
103864,43,Valparaíso,Urbana,Televisión,9,55,280000,No
104452,45,Metropolitana,Rural,Radio,3,38,750000,Sí
104858,26,Biobío,Urbana,Radio,8,54,1640000,Sí
103706,73,Valparaíso,Rural,Radio,4,48,450000,Sí
103321,31,Valparaíso,Rural,Televisión,1,47,830000,Sí
104832,37,Maule,Urbana,Televisión,10,54,390000,No
103833,49,Coquimbo,Rural,Prensa digital,2,79,890000,Sí
103856,73,O'Higgins,Urbana,Televisión,4,48,940000,Sí
101927,59,Valparaíso,Urbana,Prensa digital,2,50,1210000,Sí
103723,37,Metropolitana,Urbana,Radio,6,48,1420000,Sí
101441,20,O'Higgins,Urbana,Prensa digital,2,60,580000,No
101881,,Biobío,Urbana,Prensa digital,3,33,520000,Sí
100046,35,Maule,Urbana,Redes sociales,10,39,1100000,No
102379,55,Metropolitana,Urbana,Redes sociales,5,45,750000,Sí
104163,,Biobío,Urbana,Redes sociales,4,26,1110000,Sí
102466,35,Metropolitana,Urbana,Prensa digital,9,43,780000,Sí
103611,40,Valparaíso,Urbana,Redes sociales,8,45,980000,No
103538,39,Maule,Urbana,Televisión,5,31,1450000,Sí
101447,53,O'Higgins,Urbana,Redes sociales,3,35,720000,No
100634,47,Metropolitana,Urbana,Redes sociales,4,39,1170000,Sí
104198,37,Valparaíso,Rural,Televisión,6,80,280000,Sí
103707,47,Biobío,Rural,Prensa digital,6,45,460000,Sí
100290,40,Metropolitana,Urbana,Televisión,9,83,690000,Sí
102263,34,Biobío,Urbana,Redes sociales,3,82,2420000,No
100596,34,METROPOLITANA,Urbana,Redes sociales,1,47,400000,Sí
104904,30,Coquimbo,Urbana,Redes sociales,1,49,550000,No
100435,59,Valparaíso,Urbana,Radio,6,60,530000,Sí
103120,22,Metropolitana,Rural,Redes sociales,4,37,540000,No
104581,51,Valparaíso,Rural,Prensa digital,3,39,770000,Sí
104478,41,Valparaíso,Urbana,Redes sociales,4,0,1130000,No
103934,35,Maule,Urbana,Redes sociales,8,52,1090000,No
103715,75,Biobío,Urbana,Redes sociales,9,53,2590000,No
101142,51,Metropolitana,Urbana,Redes sociales,2,60,430000,Sí
101128,,Metropolitana,Urbana,Radio,4,48,900000,No
101956,47,Valparaíso,Urbana,Redes sociales,2,85,480000,No
103672,22,Metropolitana,Urbana,Prensa digital,2,50,560000,Sí
103010,62,Metropolitana,Urbana,Redes sociales,9,62,370000,No
104629,62,O'Higgins,Urbana,Redes sociales,4,23,450000,Sí
103176,70,Biobío,Urbana,Prensa digital,9,33,280000,Sí
103180,28,Metropolitana,Rural,Redes sociales,1,55,280000,Sí
101532,61,Metropolitana,Urbana,Televisión,10,53,1800000,Sí
104323,20,Valparaíso,Urbana,Televisión,10,55,380000,Sí
102661,54,Metropolitana,Urbana,Prensa digital,2,29,890000,Sí
104567,36,Biobío,Urbana,Televisión,8,45,1380000,Sí
101170,38, Valparaíso ,Urbana,Radio,4,24,390000,Sí
102478,35,Metropolitana,Rural,Prensa digital,7,63,1720000,Sí
102517,48,Valparaíso,Urbana,Televisión,7,25,430000,No
104471,53,Metropolitana,Urbana,Redes sociales,5,32,1320000,No
102899,35,Biobío,Urbana,Redes sociales,2,38,1000000,Sí
101777,58,Metropolitana,Rural,Televisión,2,53,880000,Sí
103943,56,Valparaíso,Rural,Radio,6,40,560000,Sí
101031,81,Metropolitana,Urbana,Redes sociales,4,49,1160000,Sí
103039,71,Biobío,Urbana,Redes sociales,8,42,2670000,No
101789,26, O'Higgins ,Urbana,Redes sociales,3,29,280000,Sí
104779,28,Valparaíso,Urbana,Televisión,6,57,2060000,Sí
103067,18,Biobío,Urbana,Prensa digital,9,54,530000,No
101152,28,Metropolitana,Urbana,Televisión,3,52,1380000,No
102245,28,Metropolitana,Urbana,Prensa digital,6,77,780000,Sí
100860,59,Metropolitana,Urbana,Prensa digital,8,50,480000,Sí
102689,41,Coquimbo,Urbana,Televisión,7,32,320000,Sí
103686,27,Metropolitana,Urbana,Prensa digital,6,51,520000,Sí
103086,34,Valparaíso,Urbana,Redes sociales,10,20,280000,No
103849,33,Metropolitana,Urbana,Prensa digital,2,19,860000,No
101332,55,Coquimbo,Rural,Radio,3,39,440000,Sí
104148,,Valparaíso,Rural,Televisión,6,29,700000,Sí
103460,30,Valparaíso,Urbana,Televisión,3,69,670000,Sí
100858,57,Metropolitana,Urbana,Televisión,10,53,400000,Sí
100236,45,Valparaíso,Urbana,Televisión,6,70,1290000,Sí
103946,43,Coquimbo,Rural,Redes sociales,7,55,1130000,Sí
101448,50,Valparaíso,Urbana,Televisión,4,64,1120000,Sí
103177,63,Metropolitana,Rural,Prensa digital,1,59,890000,Sí
102535,43,Metropolitana,Urbana,Redes sociales,8,65,500000,No
102185,44,Valparaíso,Urbana,Redes sociales,2,44,670000,Sí
103309,39,METROPOLITANA,Rural,Redes sociales,6,18,610000,Sí
104410,25,Metropolitana,Urbana,Redes sociales,10,32,1460000,Sí
100307,36,Biobío,Urbana,Redes sociales,10,67,1830000,No
100723,,Metropolitana,Urbana,Prensa digital,4,64,760000,Sí
104009,65,Metropolitana,Urbana,Radio,8,48,810000,Sí
102990,53,Biobío,Urbana,Prensa digital,7,61,1570000,Sí
102738,51,Coquimbo,Urbana,Prensa digital,2,38,640000,No
104481,36,Maule,Rural,Redes sociales,3,63,730000,Sí
100313,34,Coquimbo,Urbana,Prensa digital,1,48,2650000,No
101994,49,Valparaíso,Urbana,Prensa digital,1,50,1030000,Sí
103425,45,O'Higgins,Urbana,Radio,9,40,760000,Sí
102884,66,Metropolitana,Urbana,Televisión,6,44,310000,No
103763,36,Metropolitana,Urbana,Redes sociales,6,60,630000,No
100485,33,Biobío,Rural,Televisión,3,74,1610000,Sí
102721,52,Coquimbo,Rural,Redes sociales,1,50,3050000,Sí
101804,38,Valparaíso,Urbana,Radio,3,36,790000,Sí
101262,54,Maule,Rural,Televisión,1,24,2120000,No
101774,32,Metropolitana,Urbana,Radio,1,54,960000,Sí
100737,61,O'Higgins,Urbana,Prensa digital,3,54,330000,Sí
103358,50,Metropolitana,Rural,Redes sociales,5,50,280000,Sí
103578,60,O'Higgins,Urbana,Televisión,9,48,1180000,Sí
